CMDLINE python simulation.py
MEM 101.675781 1562420899.6595
MEM 101.675781 1562420899.7890
MEM 101.675781 1562420899.9068
MEM 101.675781 1562420900.0392
MEM 101.675781 1562420900.1763
MEM 101.675781 1562420900.3121
MEM 101.675781 1562420900.4395
MEM 101.675781 1562420900.5577
MEM 101.675781 1562420900.6914
MEM 101.675781 1562420900.8280
MEM 101.675781 1562420900.9556
MEM 101.675781 1562420901.0741
MEM 101.675781 1562420901.1957
MEM 101.675781 1562420901.3335
MEM 101.675781 1562420901.4701
MEM 101.675781 1562420901.6109
MEM 101.675781 1562420901.7428
MEM 101.675781 1562420901.8611
MEM 101.675781 1562420901.9935
MEM 101.675781 1562420902.1276
MEM 101.675781 1562420902.2514
MEM 101.675781 1562420902.3685
MEM 101.675781 1562420902.4984
MEM 101.675781 1562420902.6380
MEM 101.675781 1562420902.7617
MEM 101.675781 1562420902.8762
MEM 101.675781 1562420903.0110
MEM 101.675781 1562420903.1468
MEM 101.675781 1562420903.2785
MEM 101.675781 1562420903.3941
MEM 101.675781 1562420903.5146
MEM 101.675781 1562420903.6469
MEM 101.675781 1562420903.7803
MEM 101.675781 1562420903.9127
MEM 101.675781 1562420904.0271
MEM 101.675781 1562420904.1622
MEM 101.675781 1562420904.2973
MEM 101.675781 1562420904.4341
MEM 101.675781 1562420904.5526
MEM 101.675781 1562420904.6720
MEM 101.675781 1562420904.8088
MEM 101.675781 1562420904.9471
MEM 101.675781 1562420905.0753
MEM 101.675781 1562420905.1899
MEM 101.675781 1562420905.3171
MEM 101.675781 1562420905.4546
MEM 101.675781 1562420905.5943
MEM 101.675781 1562420905.7329
MEM 101.675781 1562420905.8475
MEM 101.675781 1562420905.9798
MEM 101.675781 1562420906.1177
MEM 101.675781 1562420906.2549
MEM 101.675781 1562420906.3867
MEM 101.675781 1562420906.5029
MEM 101.675781 1562420906.6273
MEM 101.675781 1562420906.7621
MEM 101.675781 1562420906.8791
MEM 101.675781 1562420906.9979
MEM 101.675781 1562420907.1328
MEM 101.675781 1562420907.2676
MEM 101.675781 1562420907.3902
MEM 101.675781 1562420907.5067
MEM 101.675781 1562420907.6391
MEM 101.675781 1562420907.7714
MEM 101.675781 1562420907.9084
MEM 101.675781 1562420908.0230
MEM 101.675781 1562420908.1553
MEM 101.675781 1562420908.2880
MEM 101.675781 1562420908.4227
MEM 101.675781 1562420908.5404
